,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,BLK,TOV,PF
0,24.0,18.9,-6.9999999999999964,-15.799999999999997,-1.0,14.0,13.0,8.0,4.0,2.0,3.0
2,14.0,6.899999999999999,4.600000000000001,-19.799999999999997,-1.0,5.0,4.0,10.0,1.0,1.0,1.0
4,6.0,1.6000000000000014,-1.5,14.899999999999999,-2.0,-5.0,-7.0,5.0,-2.0,-7.0,-3.0
6,13.0,9.700000000000003,-1.4000000000000021,-1.7000000000000028,-2.0,10.0,8.0,11.0,-3.0,-3.0,-10.0
8,-9.0,-9.0,-2.700000000000003,10.400000000000006,7.0,0.0,7.0,-1.0,-2.0,5.0,-3.0
10,15.0,-1.6999999999999957,10.300000000000004,44.6,2.0,6.0,8.0,-2.0,5.0,0.0,6.0
12,9.0,8.199999999999996,11.200000000000003,22.200000000000003,-12.0,4.0,-8.0,3.0,6.0,4.0,2.0
14,-7.0,2.3000000000000043,-12.299999999999997,11.200000000000003,-10.0,1.0,-9.0,-2.0,3.0,5.0,6.0
16,12.0,11.200000000000003,19.4,28.0,-9.0,0.0,-9.0,15.0,0.0,-1.0,7.0
18,-13.0,-4.399999999999999,2.5,-5.0,-10.0,-8.0,-18.0,5.0,0.0,2.0,-2.0
20,32.0,15.599999999999994,10.5,33.3,-5.0,12.0,7.0,6.0,3.0,-7.0,6.0
22,-35.0,-8.399999999999999,-13.700000000000003,14.200000000000003,-7.0,-7.0,-14.0,-13.0,-2.0,8.0,0.0
24,12.0,11.5,10.600000000000001,-1.5,-3.0,10.0,7.0,10.0,2.0,3.0,6.0
26,8.0,7.600000000000001,10.799999999999997,-9.200000000000003,3.0,12.0,15.0,2.0,5.0,8.0,-2.0
28,-27.0,-25.1,-25.8,-3.200000000000003,13.0,-19.0,-6.0,-15.0,-5.0,-7.0,3.0
30,-40.0,-18.4,-10.8,10.599999999999994,-3.0,-12.0,-15.0,-11.0,-3.0,1.0,-2.0
32,-26.0,-6.100000000000001,-17.099999999999998,-12.5,0.0,-2.0,-2.0,-5.0,-3.0,1.0,8.0
34,6.0,-0.20000000000000284,6.199999999999999,7.099999999999994,-1.0,3.0,2.0,-3.0,1.0,2.0,0.0
36,6.0,4.299999999999997,1.9000000000000021,4.700000000000003,-8.0,3.0,-5.0,12.0,3.0,-5.0,-10.0
38,-19.0,-7.099999999999994,-4.0,5.900000000000006,-8.0,-9.0,-17.0,-7.0,-2.0,-1.0,2.0
40,-16.0,-1.3999999999999986,-13.8,-18.299999999999997,-7.0,-6.0,-13.0,-2.0,2.0,3.0,-4.0
42,-13.0,-0.3999999999999986,-24.900000000000002,-27.9,8.0,3.0,11.0,-5.0,-4.0,8.0,0.0
44,10.0,8.0,0.8000000000000007,24.0,4.0,11.0,15.0,5.0,3.0,4.0,6.0
46,22.0,-2.799999999999997,17.3,24.499999999999993,-1.0,1.0,0.0,0.0,0.0,-5.0,-9.0
48,-9.0,-1.7000000000000028,0.0,-35.0,4.0,2.0,6.0,-6.0,-4.0,1.0,2.0
50,-14.0,5.799999999999997,-5.5,-35.7,1.0,-6.0,-5.0,-3.0,5.0,3.0,5.0
52,13.0,0.7999999999999972,-22.2,18.099999999999994,-1.0,1.0,0.0,2.0,4.0,-4.0,-10.0
54,-11.0,-2.799999999999997,-12.100000000000001,-12.0,0.0,-5.0,-5.0,-3.0,-1.0,-6.0,-4.0
56,13.0,16.9,-0.3999999999999986,-3.299999999999997,-6.0,11.0,5.0,6.0,4.0,1.0,0.0
58,6.0,3.799999999999997,-0.7000000000000028,-8.900000000000006,2.0,1.0,3.0,0.0,-2.0,-6.0,5.0
60,-6.0,1.2000000000000028,-3.799999999999997,-13.599999999999994,5.0,-1.0,4.0,10.0,2.0,-1.0,-1.0
62,-17.0,-9.800000000000004,-12.0,8.299999999999997,3.0,0.0,3.0,-3.0,-7.0,4.0,1.0
64,-15.0,-10.800000000000004,-16.1,13.599999999999994,5.0,-6.0,-1.0,-15.0,0.0,-4.0,-2.0
66,12.0,7.899999999999999,2.1000000000000014,18.099999999999994,-1.0,10.0,9.0,8.0,-2.0,-1.0,10.0
68,-19.0,-13.0,-6.100000000000001,-2.0,8.0,-3.0,5.0,-11.0,-6.0,3.0,-7.0
70,6.0,-7.799999999999997,-7.4999999999999964,9.200000000000003,9.0,-8.0,1.0,-2.0,0.0,-7.0,-4.0
72,-13.0,-5.199999999999996,2.8999999999999986,11.799999999999997,1.0,-5.0,-4.0,0.0,-3.0,1.0,4.0
74,-28.0,-9.100000000000001,-22.900000000000002,13.0,-1.0,-6.0,-7.0,-20.0,-9.0,-2.0,-4.0
76,11.0,8.299999999999997,-6.0,-19.5,-7.0,3.0,-4.0,3.0,-2.0,-5.0,-5.0
78,-6.0,-1.8999999999999986,4.799999999999997,-13.699999999999996,4.0,4.0,8.0,-8.0,-6.0,9.0,5.0
80,19.0,13.0,-3.299999999999997,-1.2000000000000028,-3.0,11.0,8.0,11.0,0.0,10.0,-4.0
82,-1.0,-3.1000000000000014,0.0,5.5,2.0,-6.0,-4.0,-3.0,2.0,-1.0,-9.0
84,6.0,7.899999999999999,-2.700000000000003,-8.700000000000003,-2.0,7.0,5.0,6.0,1.0,6.0,7.0
86,-37.0,-11.099999999999994,-15.699999999999996,-38.5,3.0,-17.0,-14.0,-5.0,-2.0,-1.0,4.0
88,7.0,6.5,6.700000000000003,-19.300000000000004,-4.0,7.0,3.0,-2.0,-1.0,-1.0,-1.0
90,-19.0,-6.100000000000001,-14.8,-3.0999999999999943,-1.0,-6.0,-7.0,-9.0,-3.0,-1.0,-4.0
92,-7.0,-9.100000000000001,5.5,17.599999999999994,3.0,-6.0,-3.0,-10.0,-6.0,-1.0,7.0
94,24.0,10.800000000000004,22.700000000000003,-28.799999999999997,2.0,7.0,9.0,13.0,0.0,0.0,4.0
96,17.0,3.799999999999997,-2.4999999999999964,-8.200000000000003,5.0,-10.0,-5.0,9.0,6.0,-16.0,3.0
98,2.0,-2.200000000000003,-11.200000000000003,13.0,3.0,0.0,3.0,11.0,5.0,-3.0,3.0
100,4.0,-3.6000000000000014,5.600000000000001,11.400000000000006,1.0,-1.0,0.0,-1.0,6.0,3.0,-2.0
102,-8.0,-10.600000000000001,-23.700000000000003,-5.700000000000003,8.0,-8.0,0.0,-9.0,-10.0,-12.0,-2.0
104,-22.0,-8.700000000000003,-19.4,10.699999999999989,1.0,0.0,1.0,-9.0,-5.0,5.0,3.0
106,20.0,9.199999999999996,20.700000000000003,-22.5,0.0,8.0,8.0,3.0,-2.0,-3.0,10.0
108,2.0,0.7000000000000028,3.3000000000000007,-1.7999999999999972,-6.0,-3.0,-9.0,0.0,3.0,-1.0,-4.0
110,4.0,4.5,5.200000000000003,-7.1000000000000085,-7.0,1.0,-6.0,-8.0,-4.0,1.0,-9.0
112,-28.0,-12.5,-13.099999999999998,-16.200000000000003,0.0,-11.0,-11.0,-13.0,-6.0,3.0,0.0
114,-18.0,-10.200000000000003,-16.700000000000003,14.299999999999997,-4.0,-1.0,-5.0,-13.0,-3.0,6.0,-9.0
116,29.0,8.0,14.700000000000003,17.700000000000003,0.0,6.0,6.0,3.0,4.0,-4.0,1.0
118,5.0,1.5,-5.699999999999996,-0.19999999999998863,1.0,3.0,4.0,3.0,9.0,1.0,-8.0
120,7.0,5.100000000000001,-1.1000000000000014,12.800000000000004,-2.0,4.0,2.0,2.0,-2.0,-5.0,-2.0
122,10.0,11.400000000000006,15.100000000000001,12.899999999999991,-11.0,9.0,-2.0,7.0,-2.0,4.0,2.0
124,4.0,11.799999999999997,3.900000000000002,11.799999999999997,-16.0,-2.0,-18.0,14.0,2.0,-3.0,5.0
126,-3.0,2.6999999999999957,16.099999999999998,6.299999999999997,-7.0,-7.0,-14.0,-8.0,-4.0,-3.0,5.0
128,4.0,7.5,-5.399999999999999,-7.799999999999997,-1.0,5.0,4.0,8.0,-1.0,-2.0,6.0
130,7.0,-0.30000000000000426,-7.600000000000001,-3.700000000000003,7.0,1.0,8.0,6.0,0.0,-2.0,-1.0
132,-6.0,-0.9000000000000057,-13.600000000000001,17.5,-3.0,6.0,3.0,1.0,-3.0,6.0,4.0
134,-3.0,-0.8000000000000043,1.9999999999999964,6.6000000000000085,-2.0,-6.0,-8.0,3.0,8.0,-3.0,6.0
136,3.0,3.1000000000000014,-15.2,11.299999999999997,-1.0,-2.0,-3.0,-2.0,7.0,-4.0,1.0
138,-16.0,1.5999999999999943,13.200000000000003,2.8999999999999915,-7.0,-3.0,-10.0,-1.0,-2.0,5.0,7.0
140,6.0,4.699999999999996,10.899999999999999,9.900000000000006,-7.0,3.0,-4.0,-10.0,5.0,1.0,-6.0
142,3.0,8.399999999999999,-5.400000000000006,-10.300000000000004,-4.0,16.0,12.0,-2.0,0.0,5.0,-2.0
144,-24.0,-7.100000000000001,-15.8,8.299999999999997,-4.0,-7.0,-11.0,-11.0,4.0,1.0,5.0
146,6.0,-2.8999999999999986,5.899999999999999,-2.799999999999997,1.0,-6.0,-5.0,2.0,0.0,-12.0,4.0
148,-26.0,-12.899999999999999,-2.3999999999999986,-23.200000000000003,-4.0,-15.0,-19.0,-8.0,-4.0,8.0,-7.0
150,5.0,-2.5999999999999943,-5.399999999999999,-1.9000000000000057,7.0,0.0,7.0,-4.0,1.0,-3.0,2.0
152,-17.0,-10.899999999999999,-13.799999999999997,-10.599999999999994,2.0,-6.0,-4.0,-19.0,2.0,2.0,-11.0
154,-24.0,-18.299999999999997,-6.0,20.900000000000006,1.0,-14.0,-13.0,-10.0,-6.0,-3.0,-2.0
156,3.0,-0.6000000000000014,-5.799999999999997,-4.799999999999997,6.0,6.0,12.0,0.0,5.0,8.0,-14.0
158,6.0,13.800000000000004,2.8000000000000007,7.700000000000003,-6.0,17.0,11.0,14.0,-3.0,11.0,5.0
160,15.0,0.8999999999999986,-11.299999999999997,17.0,-1.0,2.0,1.0,8.0,-3.0,-3.0,-4.0
162,-7.0,2.4000000000000057,-3.299999999999997,2.3999999999999915,-3.0,-1.0,-4.0,1.0,2.0,2.0,7.0
164,11.0,0.7000000000000028,7.199999999999996,-17.0,6.0,6.0,12.0,6.0,-2.0,-4.0,-8.0
166,12.0,2.700000000000003,8.899999999999999,11.399999999999991,4.0,9.0,13.0,-6.0,-2.0,-1.0,-6.0
168,19.0,6.699999999999996,26.2,-30.799999999999997,0.0,3.0,3.0,3.0,-3.0,0.0,5.0
170,-1.0,2.0,-7.300000000000001,14.0,-3.0,3.0,0.0,1.0,1.0,5.0,-5.0
172,17.0,15.600000000000001,12.699999999999996,-16.099999999999994,0.0,6.0,6.0,7.0,5.0,-1.0,0.0
174,10.0,8.299999999999997,10.899999999999999,1.4000000000000057,-2.0,5.0,3.0,5.0,3.0,0.0,2.0
176,14.0,0.0,20.1,12.0,2.0,-4.0,-2.0,8.0,2.0,-5.0,9.0
178,-16.0,-8.0,-6.0,9.200000000000003,5.0,0.0,5.0,-1.0,0.0,5.0,5.0
180,-1.0,2.3999999999999986,12.600000000000001,-2.3999999999999915,3.0,1.0,4.0,-9.0,1.0,1.0,-2.0
182,11.0,-0.7999999999999972,18.300000000000004,7.900000000000006,-1.0,-4.0,-5.0,-4.0,-2.0,-9.0,-3.0
184,-6.0,-4.5,3.0999999999999943,6.0,-1.0,-2.0,-3.0,7.0,-4.0,5.0,3.0
186,1.0,10.399999999999999,-12.200000000000003,30.1,-6.0,14.0,8.0,2.0,3.0,7.0,2.0
188,10.0,8.600000000000001,-2.0,2.5,-6.0,0.0,-6.0,10.0,2.0,-2.0,4.0
190,-10.0,-6.0,0.3999999999999986,9.0,0.0,-5.0,-5.0,0.0,-1.0,-2.0,2.0
192,1.0,-2.0,-7.299999999999997,16.799999999999997,0.0,-2.0,-2.0,-8.0,1.0,-4.0,-4.0
194,-9.0,-2.8000000000000043,4.100000000000001,-36.699999999999996,-2.0,-2.0,-4.0,-17.0,-5.0,-1.0,-9.0
