,HOME,AWAY,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,BLK,TOV,PF
0,ATL,BKN,-3.2439024390243816,0.5573170731707364,0.7573170731707322,0.7951219512194996,-0.5975609756097562,-1.939024390243901,-2.5365853658536537,0.060975609756095395,-0.5121951219512191,0.3536585365853657,-1.0
1,BKN,BOS,2.58536585365853,-0.9134146341463634,-2.5390243902438954,0.7524390243902559,0.30487804878048763,-0.31707317073170316,-0.012195121951222632,1.2073170731707314,0.20731707317073145,1.1829268292682933,0.8536585365853675
2,BOS,CHA,-4.207317073170728,0.0682926829268311,1.8402439024390134,2.425609756097529,-0.7317073170731714,-0.2804878048780495,-1.0121951219512155,0.8780487804878057,0.0,1.3048780487804876,2.5487804878048763
3,CHA,CHI,5.292682926829272,1.475609756097576,0.9365853658536452,-0.9670731707316946,0.4512195121951219,0.35365853658536395,0.8048780487804876,-1.8658536585365866,1.024390243902439,-1.2926829268292686,-1.9756097560975618
4,CHI,CLE,-7.939024390243901,-4.139024390243911,-1.885365853658513,-2.104878048780492,1.1707317073170742,1.353658536585364,2.524390243902438,0.0853658536585371,-0.2804878048780486,0.25609756097560954,0.573170731707318
5,CLE,DAL,8.548780487804876,3.171951219512202,1.1475609756097498,1.490243902439019,0.34146341463414664,0.5365853658536608,0.8780487804878021,0.7073170731707314,0.024390243902439046,1.451219512195122,-0.6585365853658516
6,DAL,DEN,-7.682926829268297,-2.482926829268301,-0.6317073170731788,-0.7780487804877936,-2.8780487804878057,-0.3780487804878092,-3.2560975609756113,-2.45121951219512,-1.1463414634146343,-2.6707317073170724,0.5487804878048763
7,DEN,DET,6.231707317073173,2.018292682926827,-0.507317073170725,2.9585365853658487,0.8780487804878057,-0.09756097560975263,0.7804878048780495,2.329268292682926,1.0609756097560976,1.512195121951219,0.30487804878048763
8,DET,GSW,-9.69512195121952,-5.336585365853672,-1.6524390243902332,-7.254878048780455,1.6951219512195106,-1.4756097560975618,0.21951219512195053,-6.512195121951219,-3.5975609756097566,-1.987804878048781,-1.2073170731707314
9,GSW,HOU,1.1097560975609753,4.321951219512215,2.497560975609751,3.369512195121928,-0.5853658536585353,0.6341463414634134,0.04878048780488342,7.743902439024392,2.6829268292682933,1.585365853658537,0.12195121951219434
10,HOU,IND,6.792682926829272,-1.2768292682926727,-0.19390243902439153,-0.1219512195122121,-0.5975609756097562,1.7195121951219505,1.1219512195121908,-0.634146341463417,0.6341463414634143,0.573170731707318,0.646341463414636
11,IND,LAC,-3.4268292682926784,0.010975609756066262,1.4609756097561046,4.213414634146332,-0.536585365853659,-1.0,-1.5365853658536537,-0.15853658536585158,-0.39024390243902385,-1.4146341463414647,-1.146341463414636
12,LAC,LAL,0.9146341463414558,1.2073170731707634,1.1182926829268283,2.0865853658536793,-0.536585365853659,-1.9634146341463392,-2.5,-1.4268292682926855,-0.19512195121951237,-1.1097560975609753,-1.1951219512195124
13,LAL,MEM,8.743902439024396,1.663414634146335,-1.1012195121951365,-6.364634146341473,1.1829268292682933,4.670731707317074,5.853658536585364,2.219512195121954,-0.09756097560975618,0.8292682926829276,-2.0
14,MEM,MIA,-4.085365853658544,-1.1768292682926784,-0.6987804878048607,2.6329268292682855,0.19512195121951237,-3.1341463414634134,-2.939024390243901,-1.1585365853658551,-0.5,0.5975609756097562,3.073170731707318
15,MIA,MIL,-3.0609756097560847,-2.2902439024390446,0.17073170731706,-2.830487804878061,0.9146341463414629,2.707317073170728,3.621951219512191,-0.5243902439024382,-0.07317073170731714,0.5243902439024382,-1.2682926829268304
16,MIL,MIN,-3.036585365853668,0.14146341463415268,-0.1731707317073159,-1.825609756097549,-1.951219512195122,-0.17073170731707066,-2.121951219512191,0.5365853658536572,1.1951219512195124,1.3902439024390247,3.134146341463417
17,MIN,NOP,-2.207317073170728,-0.6817073170731689,-0.14390243902439437,2.797560975609798,1.6585365853658534,-4.024390243902442,-2.3658536585365866,-4.073170731707318,-1.7073170731707323,-2.463414634146341,-0.9146341463414629
18,NOP,NYK,7.256097560975604,1.95853658536587,0.6853658536585385,-1.2463414634146517,-1.7926829268292686,2.085365853658537,0.292682926829265,3.4512195121951237,0.7804878048780495,0.1829268292682915,-1.3658536585365866
19,NYK,OKC,-3.3902439024390247,1.1524390243902118,0.04390243902440005,7.217073170731695,-2.012195121951219,0.9878048780487845,-1.0243902439024382,1.9756097560975618,0.10975609756097526,0.7439024390243905,0.35365853658536395
20,OKC,ORL,4.451219512195124,0.02560975609757321,0.41341463414633495,-4.72195121951215,3.6829268292682933,-0.2560975609756113,3.4268292682926855,-2.085365853658537,0.14634146341463428,-0.5487804878048781,0.9024390243902438
21,ORL,PHI,-6.402439024390247,-1.950000000000017,-1.8878048780487902,0.2597560975609383,-2.085365853658537,-3.707317073170735,-5.792682926829272,-3.658536585365855,-0.24390243902439046,-1.963414634146341,-2.829268292682926
22,PHI,PHX,5.878048780487816,2.915853658536605,3.1512195121951194,2.1682926829268325,0.6219512195121961,2.682926829268297,3.3048780487804876,5.829268292682926,0.6097560975609762,0.7804878048780495,0.04878048780487987
23,PHX,POR,-1.6951219512195195,-1.0195121951219548,-3.196341463414626,-6.767073170731734,0.08536585365853533,-1.4268292682926855,-1.3414634146341413,1.7560975609756113,-0.6463414634146343,2.1951219512195124,2.5365853658536572
24,POR,SAC,6.792682926829272,0.2731707317073173,-0.9573170731707421,6.468292682926872,0.7195121951219523,3.8414634146341484,4.560975609756092,-2.060975609756099,1.012195121951219,-0.19512195121951237,-0.4878048780487809
25,SAC,SAS,-3.9024390243902474,-0.6987804878048891,2.4658536585366235,-3.75243902439027,-0.8902439024390247,-2.4268292682926855,-3.317073170731703,-1.2195121951219505,-1.463414634146341,0.5731707317073162,2.8170731707317067
26,SAS,TOR,-8.926829268292678,-1.4926829268292607,-0.4975609756097725,-0.996341463414609,0.5975609756097562,-0.3658536585365866,0.23170731707317316,-1.5487804878048763,-0.4878048780487809,-0.20731707317073145,-4.5731707317073145
27,TOR,UTA,7.512195121951223,1.0207317073170827,-0.930487804878048,0.4743902439024197,0.7317073170731714,0.0,0.731707317073166,1.9024390243902438,0.975609756097561,-1.3414634146341466,2.1341463414634134
28,UTA,WAS,-2.4634146341463463,-0.5195121951219477,-0.6426829268292877,0.8621951219511885,-1.0121951219512209,1.146341463414636,0.13414634146341342,-2.7560975609756113,0.8170731707317076,0.10975609756097526,-1.6829268292682933
29,ATL,BOS,-0.6585365853658516,-0.35609756097562695,-1.7817073170731632,1.5475609756097555,-0.29268292682926855,-2.256097560975604,-2.5487804878048763,1.2682926829268268,-0.30487804878048763,1.536585365853659,-0.1463414634146325
30,BKN,CHA,-1.621951219512198,-0.8451219512195323,-0.698780487804882,3.178048780487785,-0.42682926829268375,-0.5975609756097526,-1.0243902439024382,2.085365853658537,0.20731707317073145,2.487804878048781,3.402439024390244
31,BOS,CHI,1.0853658536585442,1.5439024390244072,2.7768292682926585,1.4585365853658345,-0.2804878048780495,0.07317073170731447,-0.2073170731707279,-0.9878048780487809,1.024390243902439,0.012195121951219079,0.5731707317073145
32,CHA,CLE,-2.646341463414629,-2.663414634146335,-0.9487804878048678,-3.0719512195121865,1.6219512195121961,1.707317073170728,3.329268292682926,-1.7804878048780495,0.7439024390243905,-1.036585365853659,-1.4024390243902438
33,CHI,DAL,0.6097560975609753,-0.9670731707317088,-0.7378048780487632,-0.6146341463414728,1.5121951219512209,1.8902439024390247,3.4024390243902403,0.7926829268292686,-0.25609756097560954,1.7073170731707314,-0.08536585365853355
34,CLE,DEN,0.8658536585365795,0.689024390243901,0.515853658536571,0.7121951219512255,-2.536585365853659,0.15853658536585158,-2.378048780487809,-1.7439024390243887,-1.1219512195121952,-1.2195121951219505,-0.10975609756097526
35,DAL,DET,-1.4512195121951237,-0.46463414634147426,-1.139024390243904,2.180487804878055,-2.0,-0.47560975609756184,-2.475609756097562,-0.12195121951219434,-0.08536585365853666,-1.1585365853658534,0.853658536585364
36,DEN,GSW,-3.4634146341463463,-3.3182926829268453,-2.159756097560958,-4.296341463414606,2.5731707317073162,-1.5731707317073145,1.0,-4.182926829268293,-2.536585365853659,-0.47560975609756184,-0.9024390243902438
37,DET,HOU,-8.585365853658544,-1.0146341463414572,0.845121951219518,-3.885365853658527,1.1097560975609753,-0.8414634146341484,0.26829268292683395,1.2317073170731732,-0.9146341463414633,-0.4024390243902438,-1.085365853658537
38,GSW,IND,7.902439024390247,3.045121951219542,2.3036585365853597,3.2475609756097157,-1.1829268292682915,2.353658536585364,1.1707317073170742,7.109756097560975,3.3170731707317076,2.158536585365855,0.7682926829268304
39,HOU,LAC,3.3658536585365937,-1.2658536585366065,1.267073170731713,4.09146341463412,-1.1341463414634152,0.7195121951219505,-0.4146341463414629,-0.7926829268292686,0.24390243902439046,-0.8414634146341466,-0.5
